Citroen,Berlingo,Citroen Berlingo II,https://cars.av.by/citroen/berlingo/16523727,2012,с пробегом,140062,бензин,1600,белый,минивэн,Механика,Передний,7 999
Citroen,Berlingo,Citroen Berlingo I,https://cars.av.by/citroen/berlingo/16416643,2000,с пробегом,360000,дизель,2000,серебристый,легковой фургон,Механика,Передний,2 600
Citroen,Berlingo,Citroen Berlingo II (рестайлинг) Ref,https://cars.av.by/citroen/berlingo/16538671,2013,с пробегом,170000,дизель,1600,белый,легковой фургон,Механика,Передний,9 900
Citroen,Berlingo,Citroen Berlingo I (рестайлинг),https://cars.av.by/citroen/berlingo/16411962,2004,с пробегом,280000,бензин,1400,синий,легковой фургон,Механика,Передний,3 000
Citroen,Berlingo,Citroen Berlingo I,https://cars.av.by/citroen/berlingo/16291272,2001,с пробегом,345000,бензин,1400,синий,легковой фургон,Механика,Передний,2 900
Citroen,Berlingo,Citroen Berlingo II 1.6 hdi,https://cars.av.by/citroen/berlingo/16589290,2010,с пробегом,229664,дизель,1600,серебристый,минивэн,Механика,Передний,7 600
Citroen,Berlingo,Citroen Berlingo I,https://cars.av.by/citroen/berlingo/16573874,1999,с пробегом,230000,дизель,1900,желтый,минивэн,Механика,Передний,2 000
Citroen,Berlingo,Citroen Berlingo I,https://cars.av.by/citroen/berlingo/16579234,1998,с пробегом,300000,дизель,1900,зеленый,минивэн,Механика,Передний,2 200
Citroen,Berlingo,Citroen Berlingo I (рестайлинг),https://cars.av.by/citroen/berlingo/16588752,2005,с пробегом,240000,бензин,1400,зеленый,легковой фургон,Механика,Передний,3 000
Citroen,Berlingo,Citroen Berlingo II (2-й рестайлинг),https://cars.av.by/citroen/berlingo/16583176,2017,с пробегом,48368,дизель,1600,белый,легковой фургон,Механика,Передний,13 000
Citroen,Berlingo,Citroen Berlingo I (рестайлинг),https://cars.av.by/citroen/berlingo/16538330,2007,с пробегом,232000,бензин,1400,белый,минивэн,Механика,Передний,3 500
Citroen,Berlingo,Citroen Berlingo II (рестайлинг),https://cars.av.by/citroen/berlingo/16464199,2013,с пробегом,119253,бензин,1600,белый,легковой фургон,Механика,Передний,9 900
Citroen,Berlingo,Citroen Berlingo I,https://cars.av.by/citroen/berlingo/16586659,1999,с пробегом,470000,дизель,1900,белый,легковой фургон,Механика,1 400
